COUNTRYID,CONTINENTID,COUNTRYNAME,
1,3,Afghanistan,
2,5,Albania,
3,1,Algeria,
4,5,Andorra,
5,1,Angola,
6,6,Anguilla,
7,6,Antigua and Barbuda,
8,7,Argentina,
9,3,Armenia,
10,6,Aruba,
11,4,Australia,
12,5,Austria,
13,3,Azerbaijan,
14,6,Bahamas,
15,3,Bahrain,
16,3,Bangladesh,
17,6,Barbados,
18,5,Belarus,
19,5,Belgium,
20,6,Belize,
21,1,Benin,
22,6,Bermuda,
23,3,Bhutan,
24,7,Bolivia,
25,5,Bosnia and Herzegovina,
26,1,Botswana,
27,7,Brazil,
28,6,British Virgin Islands,
29,3,Brunei,
30,5,Bulgaria,
31,1,Burkina Faso,
32,1,Burundi,
33,1,Cabo Verde,
34,3,Cambodia,
35,1,Cameroon,
36,6,Canada,
37,1,CAR,
38,6,Caribbean Netherlands,
39,6,Cayman Islands,
40,1,Chad,
41,5,Channel Islands,
42,7,Chile,
43,3,China,
44,7,Colombia,
45,1,Comoros,
46,1,Congo,
47,6,Costa Rica,
48,5,Croatia,
49,6,Cuba,
50,6,Curaçao,
51,3,Cyprus,
52,5,Czechia,
53,5,Denmark,
54,1,Djibouti,
55,6,Dominica,
56,6,Dominican Republic,
57,1,DRC,
58,7,Ecuador,
59,1,Egypt,
60,6,El Salvador,
61,1,Equatorial Guinea,
62,1,Eritrea,
63,5,Estonia,
64,1,Eswatini,
65,1,Ethiopia,
66,5,Faeroe Islands,
67,7,Falkland Islands,
68,4,Fiji,
69,5,Finland,
70,5,France,
71,7,French Guiana,
72,4,French Polynesia,
73,1,Gabon,
74,1,Gambia,
75,3,Georgia,
76,5,Germany,
77,1,Ghana,
78,5,Gibraltar,
79,5,Greece,
80,6,Greenland,
81,6,Grenada,
82,,Guadeloupe,
83,6,Guatemala,
84,1,Guinea,
85,1,Guinea-Bissau,
86,7,Guyana,
87,6,Haiti,
88,6,Honduras,
89,3,Hong Kong,
90,5,Hungary,
91,5,Iceland,
92,3,India,
93,3,Indonesia,
94,3,Iran,
95,3,Iraq,
96,5,Ireland,
97,5,Isle of Man,
98,3,Israel,
99,5,Italy,
100,1,Ivory Coast,
101,6,Jamaica,
102,3,Japan,
103,3,Jordan,
104,3,Kazakhstan,
105,1,Kenya,
106,3,Kuwait,
107,3,Kyrgyzstan,
108,3,Laos,
109,5,Latvia,
110,3,Lebanon,
111,1,Lesotho,
112,1,Liberia,
113,1,Libya,
114,5,Liechtenstein,
115,5,Lithuania,
116,5,Luxembourg,
117,3,Macao,
118,1,Madagascar,
119,1,Malawi,
120,3,Malaysia,
121,3,Maldives,
122,1,Mali,
123,5,Malta,
124,4,Marshall Islands,
125,6,Martinique,
126,1,Mauritania,
127,,Mauritius,
128,1,Mayotte,
129,6,Mexico,
130,5,Moldova,
131,5,Monaco,
132,3,Mongolia,
133,5,Montenegro,
134,6,Montserrat,
135,1,Morocco,
136,1,Mozambique,
137,,MS Zaandam,
138,3,Myanmar,
139,1,Namibia,
140,3,Nepal,
141,5,Netherlands,
142,4,New Caledonia,
143,4,New Zealand,
144,6,Nicaragua,
145,1,Niger,
146,1,Nigeria,
147,5,North Macedonia,
148,5,Norway,
149,3,Oman,
150,3,Pakistan,
151,3,Palestine,
152,6,Panama,
153,4,Papua New Guinea,
154,7,Paraguay,
155,7,Peru,
156,3,Philippines,
157,5,Poland,
158,5,Portugal,
159,3,Qatar,
160,5,Romania,
161,5,Russia,
162,1,Rwanda,
163,1,Réunion,
164,3,S. Korea,
165,6,Saint Kitts and Nevis,
166,6,Saint Lucia,
167,6,Saint Martin,
168,6,Saint Pierre Miquelon,
169,4,Samoa,
170,5,San Marino,
171,1,Sao Tome and Principe,
172,3,Saudi Arabia,
173,1,Senegal,
174,5,Serbia,
175,1,Seychelles,
176,1,Sierra Leone,
177,3,Singapore,
178,6,Sint Maarten,
179,5,Slovakia,
180,5,Slovenia,
181,4,Solomon Islands,
182,1,Somalia,
183,1,South Africa,
184,1,South Sudan,
185,5,Spain,
186,3,Sri Lanka,
187,6,St. Barth,
188,6,St. Vincent Grenadines,
189,1,Sudan,
190,7,Suriname,
191,5,Sweden,
192,5,Switzerland,
193,3,Syria,
194,3,Taiwan,
195,3,Tajikistan,
196,1,Tanzania,
197,3,Thailand,
198,3,Timor-Leste,
199,1,Togo,
200,6,Trinidad and Tobago,
201,1,Tunisia,
202,3,Turkey,
203,6,Turks and Caicos,
204,3,UAE,
205,1,Uganda,
206,5,UK,
207,5,Ukraine,
208,7,Uruguay,
209,6,USA,
210,3,Uzbekistan,
211,4,Vanuatu,
212,5,Vatican City,
213,7,Venezuela,
214,3,Vietnam,
215,4,Wallis and Futuna,
216,1,Western Sahara,
217,3,Yemen,
218,1,Zambia,
219,1,Zimbabwe,
